label,delta_x,delta_total,velocity,angle,delta_tip2,dist_thumb,dist_index,dist_middle,dist_ring,dist_pinky,index_ratio
0,52,52.086,0.868,-0.058,181.43,124.868,183.576,191.846,184.391,159.816,1.027
0,39,39.205,0.653,-0.102,176.411,123.491,184.318,193.039,184.835,162.049,1.024
0,26,27.857,0.464,-0.367,169.009,122.801,184.784,192.762,184.201,160.112,1.032
0,13,17.029,0.284,-0.702,159.424,125.674,186.132,194.363,186.601,162.985,1.027
0,3,11.402,0.19,-1.305,138.578,123.167,189.095,198.404,190.184,163.11,1.028
0,-10,11.18,0.186,-2.678,109.444,124.31,197.018,204.963,193.871,166.331,1.046
0,-20,20.396,0.34,-2.944,52.802,130.633,199.462,208.255,193.352,167.836,1.051
0,-33,33.734,0.562,-2.933,27.803,133.765,205.431,208.406,192.481,166.244,1.087
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
